font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
㗱,MJ000429,U+35F1,15,シュウ,Ver.006.01
㗲,MJ000430,U+35F2,15,カク・ギャク,Ver.006.01
㗳,MJ000431,U+35F3,15,トウ,Ver.006.01
㗴󠄂,MJ000432,U+35F4,15,ガン・ゲン,Ver.006.01
㗴,MJ000433,U+35F4,15,ガン・ゲン,Ver.006.01
㗵,MJ000434,U+35F5,15,クツ・クチ,Ver.006.01
㗶,MJ000435,U+35F6,15,ハツ,Ver.006.01
㗻󠄁,MJ000436,U+35FB,15,カ,Ver.006.01
㗻,MJ000437,U+35FB,16,カ,Ver.006.01
㗼,MJ000438,U+35FC,16,ギョウ・ゴウ,Ver.006.01
㗽,MJ000439,U+35FD,16,キョウ・コウ,Ver.006.01
㗾,MJ000440,U+35FE,16,カ,Ver.006.01
㗿,MJ000441,U+35FF,16,カ・ケ,Ver.006.01
㘀,MJ000442,U+3600,16,サク,Ver.006.01
㘁,MJ000443,U+3601,16,エキ・ヤク,Ver.006.01
㘂,MJ000444,U+3602,16,シ・ジ,Ver.006.01
㘅,MJ000445,U+3605,17,カン,Ver.006.01
㘆,MJ000446,U+3606,17,タイ・ダイ,Ver.006.01
㘇,MJ000447,U+3607,17,エイ・ヨウ,Ver.006.01
㘈,MJ000448,U+3608,17,ギョク・ゴキ・ギ,Ver.006.01
㘉,MJ000449,U+3609,18,シツ・シチ,Ver.006.01
㘊,MJ000450,U+360A,18,ユウ・キュウ・コウ,Ver.006.01
㘋,MJ000451,U+360B,18,ケン・ゲン,Ver.006.01
㘌,MJ000452,U+360C,18,ケキ・ギャク,Ver.006.01
㘍,MJ000453,U+360D,18,シツ・シチ,Ver.006.01
㘐,MJ000454,U+3610,19,ホウ・ヒョウ,Ver.006.01
㘑,MJ000455,U+3611,19,レイ・ライ,Ver.006.01
㘓,MJ000456,U+3613,20,ラン,Ver.006.01
㘕,MJ000457,U+3615,21,ラン・カン,Ver.006.01
㘖,MJ000458,U+3616,21,ガン・ゲン,Ver.006.01
㘙,MJ000459,U+3619,23,ガン・ゲン・ゲキ・ギャク,Ver.006.01
㘛,MJ000460,U+361B,25,カン,Ver.006.01
㘜,MJ000461,U+361C,26,シュウ,Ver.006.01
㘝,MJ000462,U+361D,5,ジュウ・ノウ・ドウ・ニョウ,Ver.006.01
㘝󠄁,MJ000463,U+361D,5,ジュ・シュウ・とらえる,Ver.006.01
㘞,MJ000464,U+361E,5,カ・ワ,Ver.006.01
��,MJ000465,U+211AA,6,ソウ,Ver.006.01
㘠,MJ000466,U+3620,8,ヒョク・ヒキ,Ver.006.01
㘡,MJ000467,U+3621,8,コウ,Ver.006.01
㘢,MJ000468,U+3622,9,オウ,Ver.006.01
㘣,MJ000469,U+3623,10,ケン・セン・ゼン,Ver.006.01
㘤,MJ000470,U+3624,15,ワン・エン,Ver.006.01
㘥,MJ000471,U+3625,20,ユウ,Ver.006.01
㘦,MJ000472,U+3626,5,キン・ゴン,Ver.006.01
㘧,MJ000473,U+3627,7,ジョ,Ver.006.01
㘨,MJ000474,U+3628,7,カイ・ケ・ジョウ・ニョウ,Ver.006.01
㘩,MJ000476,U+3629,7,ヒ,Ver.006.01
㘪,MJ000477,U+362A,7,コウ,Ver.006.01
㘫,MJ000478,U+362B,7,セイ・ジョウ,Ver.006.01
㘬,MJ000479,U+362C,7,ブツ,Ver.006.01
㘭,MJ000480,U+362D,7,オウ,Ver.006.01
㘰,MJ000481,U+3630,7,シン,Ver.006.01
㘱,MJ000482,U+3631,8,タン,Ver.006.01
㘲,MJ000483,U+3632,8,キク・コク,Ver.006.01
㘳,MJ000484,U+3633,8,キュウ,Ver.006.01
㘴,MJ000485,U+3634,8,ザ・すわる,Ver.006.01
㘴󠄁,MJ000486,U+3634,8,ザ・すわる・そぞろに・おわす,Ver.006.01
㘶,MJ000487,U+3636,9,ケツ,Ver.006.01
㘷,MJ000488,U+3637,9,ガイ,Ver.006.01
㘸,MJ000489,U+3638,9,ザ,Ver.006.01
㘹,MJ000490,U+3639,8,シ,Ver.006.01
㘺,MJ000491,U+363A,9,ハツ,Ver.006.01
㘻,MJ000492,U+363B,9,イン,Ver.006.01
㘿,MJ000493,U+363F,10,デツ・ネチ,Ver.006.01
㙀,MJ000494,U+3640,10,リュウ・ル・キュウ・ク,Ver.006.01
㙁,MJ000495,U+3641,10,バイ・メ・ボク・モク,Ver.006.01
㙂,MJ000496,U+3642,10,タイ,Ver.006.01
㙃,MJ000498,U+3643,10,ホウ,Ver.006.01
㙄,MJ000499,U+3644,10,ヘイ・きざはし,Ver.006.01
㙄󠄁,MJ000500,U+3644,10,ヒ・ビ・ヘイ・ベイ・きざはし,Ver.006.01
㙅,MJ000501,U+3645,10,ホウ,Ver.006.01
㙇,MJ000502,U+3647,11,チョク・チク・ジョク・ニク,Ver.006.01
㙈,MJ000503,U+3648,11,カ・ケ,Ver.006.01
㙉,MJ000504,U+3649,11,テン,Ver.006.01
㙊,MJ000505,U+364A,11,チョウ・ジョウ,Ver.006.01
㙎,MJ000506,U+364E,12,イ,Ver.006.01
㙏,MJ000507,U+364F,12,フク,Ver.006.01
㙐,MJ000508,U+3650,12,タ,Ver.006.01
㙑,MJ000509,U+3651,12,ウ,Ver.006.01
㙒,MJ000511,U+3652,12,ヤ・の,Ver.006.01
㙓,MJ000513,U+3653,12,キ・ギ,Ver.006.01
㙔,MJ000514,U+3654,12,カン・イ,Ver.006.01
㙕,MJ000515,U+3655,12,カイ,Ver.006.01
㙙,MJ000517,U+3659,13,リョウ・リュ・ボウ・モ・モウ,Ver.006.01
㙚,MJ000518,U+365A,13,セイ・ショウ,Ver.006.01
㙛,MJ000519,U+365B,13,ホ・フ,Ver.006.01
㙛󠄁,MJ000520,U+365B,13,ホ・フ,Ver.006.01
㙝,MJ000522,U+365D,13,キョウ・コウ,Ver.006.01
㙞,MJ000523,U+365E,13,ギツ・ゴチ,Ver.006.01
㙠,MJ000524,U+3660,14,エイ,Ver.006.01
㙡,MJ000525,U+3661,14,ショウ・シュ,Ver.006.01
㙢,MJ000526,U+3662,14,バン・マン・ぬる,Ver.006.01
㙣,MJ000527,U+3663,14,チョウ,Ver.006.01
㙤,MJ000528,U+3664,14,カ・ケ,Ver.006.01
㙥,MJ000529,U+3665,14,コン,Ver.006.01
㙧,MJ000530,U+3667,15,リュウ・ル,Ver.006.01
㙨,MJ000531,U+3668,15,キ,Ver.006.01
㙩,MJ000532,U+3669,15,リョウ,Ver.006.01
㙪,MJ000533,U+366A,15,エイ・イ,Ver.006.01
㙫,MJ000534,U+366B,15,シュウ,Ver.006.01
㙬,MJ000535,U+366C,15,ギン,Ver.006.01
㙯,MJ000536,U+366F,15,ゲイ,Ver.006.01
㙰,MJ000537,U+3670,16,カイ,Ver.006.01
㙱,MJ000538,U+3671,16,コウ,Ver.006.01
㙲,MJ000539,U+3672,16,ヨウ・ふさぐ,Ver.006.01
㙳,MJ000540,U+3673,16,カン,Ver.006.01
㙴,MJ000541,U+3674,16,セン,Ver.006.01
㙵,MJ000542,U+3675,16,タイ,Ver.006.01
㙶,MJ000543,U+3676,16,ドウ,Ver.006.01
㙷,MJ000544,U+3677,17,チョウ・チュウ,Ver.006.01
㙸,MJ000545,U+3678,17,ハク,Ver.006.01
㙹,MJ000546,U+3679,17,ボウ・モウ,Ver.006.01
㙺,MJ000547,U+367A,17,キ,Ver.006.01
㙻,MJ000548,U+367B,18,テン,Ver.006.01
㙼,MJ000549,U+367C,18,ルイ,Ver.006.01
㙾,MJ000550,U+367E,19,カク,Ver.006.01
㚀,MJ000551,U+3680,20,キ,Ver.006.01
㚁,MJ000552,U+3681,24,キョウ,Ver.006.01
㚂,MJ000553,U+3682,25,ドウ・ノウ,Ver.006.01
㚃,MJ000554,U+3683,12,ウン・イン・エツ・エチ,Ver.006.01
㚅,MJ000555,U+3685,9,リュ・リュウ,Ver.006.01
㚆,MJ000556,U+3686,9,フク・ブク・かえる,Ver.006.01
㚇󠄁,MJ000557,U+3687,9,ソウ・ス・バン・マン,Ver.006.01
㚈,MJ000558,U+3688,5,ショウ・ます,Ver.006.01
㚉󠄁,MJ000559,U+3689,8,コ・ク,Ver.006.01
㚉,MJ000560,U+3689,8,コ・ク・もうかる,Ver.006.01
㚊,MJ000562,U+368A,12,カイ,Ver.006.01
㚋,MJ000563,U+368B,14,チョウ,Ver.006.01
㚌,MJ000564,U+368C,14,カ,Ver.006.01
㚍,MJ000565,U+368D,18,カイ・ケ,Ver.006.01
㚐,MJ000566,U+3690,6,トウ,Ver.006.01
㚑󠄂,MJ000567,U+3691,6,レイ,Ver.006.01
㚑,MJ000568,U+3691,6,レイ・リョウ・みたま・たま・くし,Ver.006.01
㚒,MJ000569,U+3692,7,セン・セキ・シャク,Ver.006.01
㚓,MJ000570,U+3693,7,ライ,Ver.006.01
㚔,MJ000571,U+3694,8,ジョウ・ニョウ・ニュウ・コウ,Ver.006.01
㚕,MJ000572,U+3695,8,ヒツ・ビチ・フツ・ブチ,Ver.006.01
㚖,MJ000573,U+3696,8,コウ・タク・セキ・シャク・ジャク,Ver.006.01
㚗,MJ000574,U+3697,8,シャ・ジャ,Ver.006.01
㚘,MJ000575,U+3698,8,ハン・バン,Ver.006.01
㚙,MJ000576,U+3699,8,カ,Ver.006.01
㚚,MJ000577,U+369A,9,コウ,Ver.006.01
㚜,MJ000578,U+369C,11,ヨク・オキ・キョク・ケキ,Ver.006.01
㚝,MJ000579,U+369D,11,ケイ・ケ,Ver.006.01
㚞,MJ000580,U+369E,11,シン,Ver.006.01
㚠,MJ000581,U+36A0,13,キョウ,Ver.006.01
㚡,MJ000582,U+36A1,16,キ,Ver.006.01
㚢󠄀,MJ000583,U+36A2,5,ブ,Ver.006.01
㚢,MJ000584,U+36A2,5,ド,Ver.006.01
㚣,MJ000585,U+36A3,6,コウ,Ver.006.01
㚤,MJ000586,U+36A4,6,ヨク・ヨキ,Ver.006.01
㚥,MJ000587,U+36A5,6,ウ,Ver.006.01
㚦,MJ000588,U+36A6,6,キ,Ver.006.01
㚧,MJ000589,U+36A7,6,ゲン,Ver.006.01
㚩,MJ000590,U+36A9,7,ゼン・ネン・デン,Ver.006.01
㚪,MJ000591,U+36AA,7,コウ,Ver.006.01
㚫,MJ000592,U+36AB,7,ソウ,Ver.006.01
㚬,MJ000594,U+36AC,7,キン,Ver.006.01
㚭,MJ000595,U+36AD,7,ユウ・ウ,Ver.006.01
㚮,MJ000596,U+36AE,7,タン,Ver.006.01
㚰,MJ000597,U+36B0,8,ハイ・ヒ,Ver.006.01
㚱,MJ000598,U+36B1,8,キュウ・ク,Ver.006.01
㚲,MJ000599,U+36B2,8,セン・ショウ・テン,Ver.006.01
㚳,MJ000600,U+36B3,8,カ,Ver.006.01
㚴,MJ000601,U+36B4,8,ホ・フ,Ver.006.01
㚵,MJ000602,U+36B5,8,トウ・ツ,Ver.006.01
㚶,MJ000603,U+36B6,8,ジ,Ver.006.01
㚷,MJ000604,U+36B7,8,デイ,Ver.006.01
㚸,MJ000605,U+36B8,8,シ,Ver.006.01
㚹,MJ000606,U+36B9,8,ボウ・ミョウ,Ver.006.01
㚺,MJ000607,U+36BA,8,ヨウ,Ver.006.01
㚻,MJ000608,U+36BB,8,キ,Ver.006.01
㚼,MJ000609,U+36BC,8,コウ,Ver.006.01
㚽,MJ000610,U+36BD,8,コウ・キョウ,Ver.006.01
㚾,MJ000611,U+36BE,8,ケイ・キョウ,Ver.006.01
㚿,MJ000612,U+36BF,8,ホウ,Ver.006.01
㛁,MJ000613,U+36C1,8,ホウ・ヒョウ,Ver.006.01
㛂,MJ000614,U+36C2,9,ガ・ダ・ナ,Ver.006.01
㛃,MJ000615,U+36C3,9,ケツ・ケチ,Ver.006.01
㛄,MJ000618,U+36C4,9,エ・イ,Ver.006.01
㛅,MJ000619,U+36C5,9,ジ・ニ,Ver.006.01
㛆,MJ000620,U+36C6,9,タ,Ver.006.01
㛍,MJ000621,U+36CD,10,キョウ・ショウ,Ver.006.01
㛎,MJ000622,U+36CE,10,リョ・ロ,Ver.006.01
㛏,MJ000623,U+36CF,10,キュウ・グ,Ver.006.01
㛐,MJ000624,U+36D0,10,ソウ・あによめ,Ver.006.01
㛑,MJ000625,U+36D1,10,サン,Ver.006.01
㛒,MJ000626,U+36D2,10,トウ・ツ,Ver.006.01
㛓,MJ000627,U+36D3,10,チ・キ・ケ,Ver.006.01
㛔,MJ000628,U+36D4,10,ホウ,Ver.006.01
㛕,MJ000629,U+36D5,10,オウ,Ver.006.01
㛖,MJ000630,U+36D6,10,サ,Ver.006.01
㛗,MJ000631,U+36D7,10,サ,Ver.006.01
㛘,MJ000632,U+36D8,10,ホツ・ホチ,Ver.006.01
㛙,MJ000633,U+36D9,10,シン,Ver.006.01
㛚,MJ000634,U+36DA,10,トウ・ツ・ヨウ・ユ,Ver.006.01
㛛,MJ000635,U+36DB,10,シン,Ver.006.01
㛜,MJ000636,U+36DC,10,ユウ・ニ,Ver.006.01
㛝,MJ000637,U+36DD,10,ハイ,Ver.006.01
㛞,MJ000638,U+36DE,10,ロウ・ル,Ver.006.01
㛥,MJ000639,U+36E5,11,トウ,Ver.006.01
㛦,MJ000640,U+36E6,11,ラン,Ver.006.01
㛧,MJ000641,U+36E7,11,バン・マン,Ver.006.01
㛨,MJ000642,U+36E8,11,キョウ・コウ,Ver.006.01
㛩,MJ000643,U+36E9,11,チク,Ver.006.01
㛪,MJ000644,U+36EA,11,エン,Ver.006.01
㛫,MJ000645,U+36EB,11,セキ・シャク,Ver.006.01
㛬,MJ000646,U+36EC,11,リク・ロク,Ver.006.01
㛭,MJ000647,U+36ED,11,セキ・シャク,Ver.006.01
㛮,MJ000648,U+36EE,12,ソウ・あによめ,Ver.006.01
㛮󠄁,MJ000649,U+36EE,12,ソウ・あによめ,Ver.006.01
㛯,MJ000650,U+36EF,12,テン・ベン,Ver.006.01
㛰,MJ000651,U+36F0,12,コン,Ver.006.01
㛱,MJ000652,U+36F1,12,ワイ・エ,Ver.006.01
㛳,MJ000653,U+36F3,12,エイ・セイ,Ver.006.01
㛴,MJ000654,U+36F4,12,ドウ・ノウ,Ver.006.01
㛵,MJ000655,U+36F5,12,ショウ,Ver.006.01
㛶,MJ000656,U+36F6,12,タン,Ver.006.01
㛷,MJ000657,U+36F7,12,ケイ,Ver.006.01
㛸,MJ000658,U+36F8,12,シュ,Ver.006.01
㛹,MJ000659,U+36F9,12,ヘン・ベン,Ver.006.01
㛺,MJ000660,U+36FA,12,アン・オン,Ver.006.01
㛺󠄁,MJ000661,U+36FA,12,むかいめ,Ver.006.01
㛻,MJ000662,U+36FB,12,カイ・ケ,Ver.006.01
㛼,MJ000663,U+36FC,12,チョウ・ソウ,Ver.006.01
㛼󠄁,MJ000664,U+36FC,13,ソウ,Ver.006.01
㛽,MJ000665,U+36FD,12,サン,Ver.006.01
㛾,MJ000666,U+36FE,12,カン・ガン,Ver.006.01
㜂,MJ000667,U+3702,12,ホウ・フ,Ver.006.01
㜃,MJ000668,U+3703,12,レン,Ver.006.01
㜄,MJ000669,U+3704,12,シン・ジン,Ver.006.01
㜅,MJ000670,U+3705,13,チク・キク,Ver.006.01
㜆,MJ000671,U+3706,13,ベイ・メイ,Ver.006.01
㜇,MJ000672,U+3707,13,スイ・ズイ・ヨウ・イ・いかる,Ver.006.01
㜈,MJ000673,U+3708,13,ボク・モク,Ver.006.01
㜉,MJ000674,U+3709,13,ヨウ・ユ,Ver.006.01
㜊,MJ000675,U+370A,13,テン,Ver.006.01
㜋,MJ000676,U+370B,13,エキ・ヤク,Ver.006.01
㜌,MJ000677,U+370C,13,ドウ・ヌ・コウ・ク,Ver.006.01
㜍,MJ000678,U+370D,13,トウ・ドウ,Ver.006.01
㜎,MJ000679,U+370E,13,ケイ・ゲイ,Ver.006.01
㜏,MJ000680,U+370F,13,ウン,Ver.006.01
㜐,MJ000681,U+3710,13,シュ・ジュ,Ver.006.01
㜑,MJ000682,U+3711,13,バ,Ver.006.01
㜒,MJ000683,U+3712,13,ゲイ,Ver.006.01
㜓,MJ000684,U+3713,13,トウ,Ver.006.01
㜖,MJ000685,U+3716,14,ソウ・ゾウ,Ver.006.01
㜗,MJ000686,U+3717,14,サン・ソウ・シン,Ver.006.01
㜘,MJ000687,U+3718,14,ショ・シュ・サ・ジャ,Ver.006.01
㜙,MJ000688,U+3719,14,ロク,Ver.006.01
㜚,MJ000689,U+371A,14,シュク,Ver.006.01
㜛,MJ000690,U+371B,14,ナン,Ver.006.01
㜜,MJ000691,U+371C,14,ゴウ,Ver.006.01
㜝,MJ000692,U+371D,14,ガン・ゴン・アン・オン・カン・ゲン・エン,Ver.006.01
㜞,MJ000693,U+371E,14,サン・ザ・セン,Ver.006.01
㜠,MJ000694,U+3720,14,サイ・セ,Ver.006.01
㜡,MJ000695,U+3721,14,ショウ・シュ,Ver.006.01
㜢,MJ000696,U+3722,14,リュ・ル・ロウ,Ver.006.01
㜣,MJ000697,U+3723,15,セン・ゼン・ネン・デン,Ver.006.01
㜤,MJ000698,U+3724,15,デン・ネン・シン・タン・ドン・テン,Ver.006.01
㜥,MJ000699,U+3725,15,バイ・メ,Ver.006.01
㜦,MJ000700,U+3726,15,シン・ジン,Ver.006.01
㜧,MJ000701,U+3727,15,ケツ,Ver.006.01
㜩,MJ000702,U+3729,16,オウ,Ver.006.01
㜪,MJ000703,U+372A,16,シン,Ver.006.01
㜫,MJ000704,U+372B,16,ビ,Ver.006.01
㜮,MJ000705,U+372E,17,ラン,Ver.006.01
㜯,MJ000706,U+372F,17,キ,Ver.006.01
㜰,MJ000709,U+3730,18,ヤク・シャク,Ver.006.01
㜱,MJ000710,U+3731,18,シツ・シチ,Ver.006.01
㜲,MJ000711,U+3732,19,エイ・ヨウ,Ver.006.01
㜲󠄁,MJ000712,U+3732,19,エイ・ヨウ,Ver.006.01
㜳,MJ000713,U+3733,19,カイ・エ,Ver.006.01
㜴,MJ000714,U+3734,19,ボウ・モウ,Ver.006.01
㜵,MJ000715,U+3735,19,ジョウ・ニョウ,Ver.006.01
㜶,MJ000716,U+3736,20,ハン,Ver.006.01
㜷,MJ000717,U+3737,20,ビ・ミ・ベイ・メイ・セン,Ver.006.01
㜸,MJ000718,U+3738,20,セツ・ゲツ,Ver.006.01
㜹,MJ000719,U+3739,21,ク・グ・オウ・オ,Ver.006.01
㜺,MJ000720,U+373A,22,サン,Ver.006.01
㜻,MJ000721,U+373B,26,レン,Ver.006.01
㜼,MJ000722,U+373C,26,テツ,Ver.006.01
㜽,MJ000723,U+373D,6,シ・こ,Ver.006.01
㜾,MJ000724,U+373E,7,ガイ,Ver.006.01
㝀,MJ000725,U+3740,8,コウ,Ver.006.01
㝁,MJ000726,U+3741,9,ケン,Ver.006.01
㝂,MJ000727,U+3742,10,セツ・セチ・セイ,Ver.006.01
㝃,MJ000728,U+3743,10,ブン・モン・ハン・ホン・ベン・メン・バン・マン,Ver.006.01
㝄,MJ000729,U+3744,12,ジュン,Ver.006.01
㝅,MJ000730,U+3745,13,コウ・ドウ・ク・ヌ,Ver.006.01
㝇,MJ000731,U+3747,16,ジュン,Ver.006.01
㝈,MJ000732,U+3748,25,サン・セン,Ver.006.01
㝊,MJ000733,U+374A,5,シュ,Ver.006.01
㝋,MJ000734,U+374B,5,リョウ,Ver.006.01
㝌,MJ000735,U+374C,6,キュウ・ク・ユウ・ユ,Ver.006.01
㝍,MJ000736,U+374D,6,シャ・うつす,Ver.006.01
㝎,MJ000737,U+374E,7,テイ,Ver.006.01
㝏,MJ000738,U+374F,7,カイ,Ver.006.01
㝐,MJ000739,U+3750,7,ヨウ,Ver.006.01
㝑,MJ000740,U+3751,7,ボウ,Ver.006.01
㝒,MJ000741,U+3752,8,キョ,Ver.006.01
㝓,MJ000742,U+3753,9,コウ,Ver.006.01
㝔,MJ000743,U+3754,9,ヨウ,Ver.006.01
㝕,MJ000744,U+3755,9,ネイ,Ver.006.01
㝖,MJ000745,U+3756,9,ギ,Ver.006.01
㝗,MJ000746,U+3757,10,ロウ,Ver.006.01
㝘,MJ000747,U+3758,10,ゴウ・グ,Ver.006.01
㝙,MJ000748,U+3759,10,イン,Ver.006.01
㝚,MJ000749,U+375A,10,エン,Ver.006.01
㝛,MJ000750,U+375B,11,シュク・やど,Ver.006.01
㝜,MJ000751,U+375C,11,セキ・シャク,Ver.006.01
㝝,MJ000752,U+375D,11,リン,Ver.006.01
㝞,MJ000753,U+375E,11,ア,Ver.006.01
㝟,MJ000754,U+375F,11,ホウ・つきすすむ・ふれる・おかす,Ver.006.01
㝠,MJ000755,U+3760,11,メイ・くらい,Ver.006.01
㝡,MJ000756,U+3761,11,サイ,Ver.006.01
㝢,MJ000757,U+3762,12,ウ・のき,Ver.006.01
㝣,MJ000758,U+3763,12,エイ・ケツ・ケチ・エツ・エチ,Ver.006.01
㝤,MJ000760,U+3764,13,コウ・ク,Ver.006.01
㝥,MJ000761,U+3765,13,ベイ・メイ・ビ・ミ,Ver.006.01
㝦,MJ000762,U+3766,13,シュン,Ver.006.01
㝧,MJ000763,U+3767,13,オン,Ver.006.01
㝩,MJ000764,U+3769,14,コウ,Ver.006.01
㝪,MJ000765,U+376A,14,テン・チョウ,Ver.006.01
㝫,MJ000766,U+376B,15,リュウ,Ver.006.01
㝬,MJ000768,U+376C,14,コ,Ver.006.01
㝭,MJ000769,U+376D,15,セイ・ショウ,Ver.006.01
㝮,MJ000770,U+376E,15,サイ・セ,Ver.006.01
㝯,MJ000771,U+376F,15,キョウ・ギョウ,Ver.006.01
㝰,MJ000772,U+3770,18,ベン・メン,Ver.006.01
㝱,MJ000773,U+3771,21,ム・ゆめ,Ver.006.01
㝲,MJ000774,U+3772,26,シン,Ver.006.01
㝴,MJ000775,U+3774,7,ガン・けずる,Ver.006.01
㝵,MJ000776,U+3775,8,ガイ・トク,Ver.006.01
㝶,MJ000777,U+3776,10,トク,Ver.006.01
㝸󠄁,MJ000778,U+3778,10,ヘン・ベン,Ver.006.01
㝺,MJ000779,U+377A,14,レン,Ver.006.01
㝻,MJ000780,U+377B,15,キン・ギン,Ver.006.01
㝼,MJ000781,U+377C,6,ウ,Ver.006.01
��,MJ000782,U+21BD1,8,スイ,Ver.006.01
㝾,MJ000783,U+377E,8,サ,Ver.006.01
㝿,MJ000784,U+377F,8,ハ・あしなえ,Ver.006.01
㞀,MJ000785,U+3780,9,カイ・ケ,Ver.006.01
㞁,MJ000786,U+3781,9,ヨウ・ビュウ・ミュウ,Ver.006.01
㞂,MJ000787,U+3782,10,タイ・テ,Ver.006.01
㞃,MJ000788,U+3783,11,ケキ・ギャク,Ver.006.01
㞄,MJ000789,U+3784,11,アン・オン・オウ,Ver.006.01
㞅,MJ000790,U+3785,11,ラ,Ver.006.01
㞆,MJ000791,U+3786,11,キ・イ,Ver.006.01
㞇,MJ000792,U+3787,12,ワイ・エ,Ver.006.01
㞈,MJ000793,U+3788,12,ハチ・ハツ,Ver.006.01
㞉,MJ000794,U+3789,13,サツ・サチ,Ver.006.01
㞊,MJ000795,U+378A,14,シュツ,Ver.006.01
㞋,MJ000796,U+378B,5,ショク・シキ・デン・ネン,Ver.006.01
㞌,MJ000797,U+378C,6,ヨウ,Ver.006.01
㞍,MJ000798,U+378D,6,コウ・しり,Ver.006.01
㞏,MJ000799,U+378F,8,チュウ・ジュウ・キョウ・ギョウ,Ver.006.01
㞐,MJ000800,U+3790,8,キョ,Ver.006.01
㞑,MJ000801,U+3791,8,ビ,Ver.006.01
㞒,MJ000802,U+3792,9,カイ・ケ・キ,Ver.006.01
㞓,MJ000803,U+3793,9,キ・ケイ,Ver.006.01
㞕,MJ000804,U+3795,9,セツ,Ver.006.01
㞖,MJ000805,U+3796,9,シ,Ver.006.01
㞗,MJ000806,U+3797,10,キュウ・グ,Ver.006.01
㞘,MJ000807,U+3798,11,トク,Ver.006.01
㞙,MJ000808,U+3799,11,ニョウ,Ver.006.01
㞚,MJ000809,U+379A,12,ショウ・ソウ,Ver.006.01
㞛,MJ000810,U+379B,12,キ,Ver.006.01
㞜,MJ000811,U+379C,14,タイ・テ・サイ・セ・カ・ゲ・タ,Ver.006.01
㞟,MJ000812,U+379F,15,テン・テイ・チョウ,Ver.006.01
㞡,MJ000813,U+37A1,19,テン,Ver.006.01
㞢,MJ000814,U+37A2,4,シ,Ver.006.01
㞣,MJ000815,U+37A3,7,フン・ブン,Ver.006.01
㞤,MJ000816,U+37A4,5,ギン・ゴン,Ver.006.01
㞥,MJ000818,U+37A5,5,シン・ジン,Ver.006.01
㞦,MJ000819,U+37A6,5,キ,Ver.006.01
㞧,MJ000820,U+37A7,5,カイ,Ver.006.01
㞨,MJ000821,U+37A8,6,シ,Ver.006.01
㞩,MJ000822,U+37A9,6,ラン,Ver.006.01
㞪,MJ000823,U+37AA,6,ドウ・ノウ,Ver.006.01
㞫,MJ000824,U+37AB,7,ソウ,Ver.006.01
㞬,MJ000825,U+37AC,6,キン,Ver.006.01
㞭,MJ000826,U+37AD,6,タイ,Ver.006.01
㞮,MJ000827,U+37AE,6,シュツ・スイ・デ・シュチ・でる・だす,Ver.006.01
㞯,MJ000828,U+37AF,6,キ,Ver.006.01
㞰,MJ000829,U+37B0,7,キョ,Ver.006.01
㞱,MJ000830,U+37B1,7,ショウ・シュ,Ver.006.01
㞲,MJ000831,U+37B2,7,ギュウ・グ,Ver.006.01
㞳,MJ000832,U+37B3,7,トウ・ツ,Ver.006.01
㞴,MJ000833,U+37B4,7,チ・ジ,Ver.006.01
㞶,MJ000834,U+37B6,7,ビン,Ver.006.01
㞷󠄁,MJ000835,U+37B7,7,コウ・オウ,Ver.006.01
㞷,MJ000836,U+37B7,7,,Ver.006.01
㞹,MJ000837,U+37B9,8,カ,Ver.006.01
㞺,MJ000838,U+37BA,8,ゾク,Ver.006.01
㞻,MJ000839,U+37BB,8,コウ・ゴウ,Ver.006.01
㞼,MJ000840,U+37BC,8,ショウ・ジョウ,Ver.006.01
㞽,MJ000841,U+37BD,8,ケツ・カチ,Ver.006.01
㞾,MJ000842,U+37BE,8,ジ・ニ,Ver.006.01
㞿,MJ000843,U+37BF,8,キ,Ver.006.01
㟀,MJ000844,U+37C0,8,レン,Ver.006.01
㟁,MJ000845,U+37C1,8,ガン・きし,Ver.006.01
㟃,MJ000847,U+37C3,8,シ,Ver.006.01
㟄,MJ000848,U+37C4,9,ショウ・ゾウ,Ver.006.01
㟅,MJ000849,U+37C5,9,ゴウ・グ,Ver.006.01
㟇,MJ000850,U+37C7,10,サ・ザ,Ver.006.01
㟈,MJ000851,U+37C8,10,キュウ・グ,Ver.006.01
㟉,MJ000852,U+37C9,10,ロウ,Ver.006.01
㟊,MJ000853,U+37CA,10,フウ・ブ,Ver.006.01
㟋,MJ000854,U+37CB,10,タイ・デ,Ver.006.01
㟌,MJ000855,U+37CC,10,ボウ・モウ,Ver.006.01
㟍,MJ000856,U+37CD,10,ロウ,Ver.006.01
㟎,MJ000857,U+37CE,10,タイ・テ・タ,Ver.006.01
㟏,MJ000858,U+37CF,10,カン・コン,Ver.006.01
㟐,MJ000859,U+37D0,10,ボウ・モウ,Ver.006.01
㟐󠄁,MJ000860,U+37D0,10,ボウ・モウ,Ver.006.01
㟑,MJ000861,U+37D1,10,ホツ・ボチ,Ver.006.01
㟒,MJ000862,U+37D2,10,キン,Ver.006.01
㟓,MJ000863,U+37D3,10,キ・ゲ,Ver.006.01
㟔,MJ000864,U+37D4,10,カン,Ver.006.01
㟗,MJ000865,U+37D7,11,ヒン,Ver.006.01
㟘,MJ000866,U+37D8,11,チョウ・ジョウ,Ver.006.01
㟙,MJ000867,U+37D9,11,サク・ジャク,Ver.006.01
